# Constructed from biom file
#OTU ID	M1	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M2	M20	M21	M22	M23	M24	M25	M26	M27	M28	M3	M4	M5	M6	M7	M8	M9
b97a9d3bff69e67f9d96f4d48451738c	17164.0	178.0	5785.0	142.0	554.0	23559.0	4304.0	216.0	101.0	1207.0	206.0	18548.0	329.0	74.0	2691.0	442.0	21140.0	194.0	1992.0	1049.0	15692.0	444.0	16348.0	776.0	377.0	30546.0	8263.0	12748.0
1fc9d11dc36a475832a2ae5591975234	1166.0	1323.0	2862.0	8827.0	1969.0	1056.0	107.0	23234.0	7369.0	80.0	49.0	5139.0	5770.0	9783.0	6076.0	5722.0	3521.0	4067.0	13826.0	3354.0	3959.0	5178.0	167.0	1760.0	6378.0	1952.0	10386.0	2560.0
8b45c544e5d6a5931a4546aa29b7bfd8	2139.0	1230.0	2704.0	2227.0	1978.0	1677.0	272.0	4515.0	2589.0	132.0	87.0	5531.0	2681.0	3552.0	3639.0	3070.0	4119.0	2124.0	4534.0	2656.0	4076.0	2343.0	281.0	1546.0	2446.0	3028.0	6490.0	3240.0
2490894b5a89232f84f8db6a7adca939	359.0	678.0	678.0	640.0	2191.0	905.0	5332.0	775.0	620.0	3111.0	9690.0	745.0	2134.0	909.0	1940.0	1986.0	791.0	688.0	442.0	728.0	607.0	747.0	1306.0	788.0	1166.0	286.0	141.0	439.0
a7a4b467a98f4e2e0f5734860a186951	1964.0	15.0	591.0	35.0	83.0	1401.0	60.0	79.0	19.0	15.0	0.0	3532.0	53.0	23.0	1047.0	112.0	2032.0	59.0	757.0	349.0	998.0	102.0	147.0	87.0	85.0	2874.0	3899.0	2073.0
7bb5cb028543635e43fd3559b8249209	114.0	785.0	104.0	2501.0	423.0	278.0	50.0	2994.0	2104.0	26.0	11.0	468.0	923.0	818.0	342.0	499.0	166.0	480.0	1381.0	1316.0	180.0	314.0	14.0	596.0	446.0	280.0	667.0	513.0
f4dfc7659abf0b6985c452d9eac81310	853.0	1169.0	1044.0	1103.0	2575.0	714.0	2040.0	1830.0	677.0	2346.0	2497.0	921.0	1470.0	2437.0	2013.0	1588.0	976.0	1799.0	1391.0	410.0	1532.0	3138.0	760.0	2055.0	1194.0	441.0	564.0	1205.0
f8aa33151a0d330fbd981a06f2ea2dbf	987.0	16.0	123.0	22.0	65.0	1827.0	412.0	33.0	8.0	117.0	6.0	861.0	27.0	5.0	172.0	32.0	299.0	26.0	211.0	342.0	152.0	32.0	312.0	147.0	20.0	1807.0	681.0	1405.0
5b99a676686723881b06b8e60e25dffe	994.0	1100.0	2810.0	301.0	2123.0	223.0	2041.0	205.0	473.0	1574.0	4125.0	480.0	175.0	331.0	243.0	998.0	230.0	616.0	350.0	350.0	615.0	1048.0	505.0	963.0	249.0	166.0	353.0	736.0
402a1ae8427840436a7e44d84ea141bb	137.0	1301.0	356.0	3891.0	897.0	216.0	352.0	781.0	230.0	427.0	43.0	187.0	848.0	783.0	315.0	168.0	155.0	281.0	543.0	158.0	140.0	379.0	159.0	410.0	376.0	87.0	134.0	137.0
